Site Name	Total Number of Walkers	Walker Rate	Species	Flock Size	SD	AD	Response Distance	Towards/ Away	Seperation Distance	On Shore/In Water	Distance from Edge
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	2	60	34	20	Away	20	In Water	25
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	8	80	28	22	Away	22	On Shore	0.2
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	4	49	30	30	Away	30	In Water	15
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	7	50	25	34	Away	24	On Margin	0.2
EDWARDES Lake	57	38	Eurasian Coot	5	14	5.5	5	Away	5	On Shore	6
EDWARDES Lake	57	38	Eurasian Coot	6	29	14	8	Away	8	On Shore	3
EDWARDES Lake	57	38	Eurasian Coot	4	34	15	15	Towards	0.5	In Water	7
EDWARDES Lake	57	38	Eurasian Coot	4	24	17	16	Away	16	In Water	10
EDWARDES Lake	57	38	Eurasian Coot	25	23	23	23	Towards	0.2	On Shore	7
EEL RACE Drain	1	2	Eurasian Coot	3	30	27	27	Away	27	In Water	3
EMERALD GOLF CLUB Lake	0	0	Eurasian Coot	1	27	27	27	Towards	7	On Shore	2
EMERALD Lake	52	41.6	Eurasian Coot	2	17	8	6	Towards	3	In Water	0.5
EMERALD Lake	52	41.6	Eurasian Coot	10	15	15	15	Towards	0.5	On Shore	4
EMERALD Lake	52	41.6	Eurasian Coot	1	18	17	17	Away	17	In Water	2.5
FEDERATION TRAIL Creek	1	3	Eurasian Coot	4	52	15	12	Away	12	In Water	6
FEDERATION TRAIL Creek	1	3	Eurasian Coot	1	55.5	37	21	Away	21	In Water	1.5
FLORA AND FAUNA Reserve	0	0	Eurasian Coot	1	60	40	40	Away	40	In Water	12
FROG HOLLOW Reserve	44	26.4	Eurasian Coot	2	30	16	16	Towards	6	In Water	6
FROG HOLLOW Reserve	44	26.4	Eurasian Coot	8	58	56	56	Towards	4	In Water	2
FROG HOLLOW Reserve	44	26.4	Eurasian Coot	16	57	57	57	Towards	4	In Water	1
FROG HOLLOW Reserve	44	26.4	Eurasian Coot	7	66	66	66	Towards	5	In Water	2
GATEWAY Sanctuary	12	15.65217391	Eurasian Coot	6	27	19	19	Away	12	In Water	4
GATEWAY Sanctuary	12	15.65217391	Eurasian Coot	1	34	34	28	Away	28	In Water	8
HAMPTON PARK Wetlands	31	24.8	Eurasian Coot	3	71	45	39	Towards	4	In Water	4
HUNTERS ROAD Wetland	2	4	Eurasian Coot	15	22	22	22	Towards	0.5	In Water	22
HUNTERS ROAD Wetland	2	4	Eurasian Coot	12	52	52	52	Towards	1	In Water	52
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Eurasian Coot	1	16	12	9	Away	9	In Water	7
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Eurasian Coot	12	45	15	11	Towards	5	In Water	9
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Eurasian Coot	8	50	39	36	Away	36	In Water	6
JACK ROPER Reserve	2	4	Eurasian Coot	37	20	16	7	Both	5	On Shore	11
JACK ROPER Reserve	2	4	Eurasian Coot	11	35	18	11	Both	13	In Water	2
JACK ROPER Reserve	2	4	Eurasian Coot	28	43	43	43	Towards	5	On Shore	2
JELLS Park	58	38.66666667	Eurasian Coot	2	34	19	10	Away	10	On Shore	0.2
JELLS Park	58	38.66666667	Eurasian Coot	1	48	47	45	Towards	3	In Water	50
JONES CREEK Wetland	37	44.4	Eurasian Coot	4	42	26	24	Towards	8	In Water	14
JONES CREEK Wetland	37	44.4	Eurasian Coot	22	55	51	51	Towards	6	In Water	45
KARRAROCK Park	84	28	Eurasian Coot	2	48	18	5	Towards	5	In Water	2
KARRAROCK Park	84	28	Eurasian Coot	5	20	15	13	Towards	3	On Margin	0.2
KARRAROCK Park	84	28	Eurasian Coot	2	28	28	28	Towards	7	In Water	0.5
KARRAROCK Park	84	28	Eurasian Coot	2	41	32	30	Away	30	In Water	0.6
KOROROIT Creek FORD	3	6	Eurasian Coot	3	53	30	9	Away	9	In Water	15
KOROROIT Creek FORD	3	6	Eurasian Coot	2	38	14	13	Away	13	In Water	5
Lake VICTORIA	2	2.666666667	Eurasian Coot	2	88	86	86	Away	86	In Water	84
Lake VICTORIA (EMILY STREET)	1	2.4	Eurasian Coot	7	65	65	65	Towards	8	In Water	60
LAKESIDE Lake	118	83.29411765	Eurasian Coot	16	16	16	16	Towards	2	In Water	16
LAKESIDE Lake	118	83.29411765	Eurasian Coot	11	33	26	22	Towards	2	In Water	27
LAKESIDE Lake	118	83.29411765	Eurasian Coot	33	25	23	23	Towards	0.5	In Water	2
LAKESIDE Lake	118	83.29411765	Eurasian Coot	18	27	27	27	Towards	1	In Water	18
LAKESIDE Lake	118	83.29411765	Eurasian Coot	9	42	42	42	Towards	2	In Water	40
LAKEWOOD Lakes	4	8	Eurasian Coot	2	16	16	16	Towards	8	In Water	13
LAKEWOOD Lakes	4	8	Eurasian Coot	2	19	18	18	Towards	16	In Water	5
LILYDALE Lake	235	108.4615385	Eurasian Coot	3	9	5	3	Away	3	On Shore	7
LILYDALE Lake	235	108.4615385	Eurasian Coot	2	6	6	6	Away	6	In Water	0.5
LILYDALE Lake	235	108.4615385	Eurasian Coot	2	18	14	11	Away	11	On Shore	10
LILYDALE Lake	235	108.4615385	Eurasian Coot	22	21	21	21	Towards	2	In Water	2
LOGAN Lake	58	43.5	Eurasian Coot	8	21	20	20	Towards	4	In Water	3
LOGAN Lake	58	43.5	Eurasian Coot	9	25	22	22	Towards	2	On Shore	9
LOGAN Lake	58	43.5	Eurasian Coot	2	30	28	28	Towards	2	In Water	28
LOGAN Lake	58	43.5	Eurasian Coot	4	38	33	33	Towards	2	On Shore	4
LOGAN Lake	58	43.5	Eurasian Coot	1	47	47	47	Towards	3	In Water	46
LORNE Lake Reserve	4	3.692307692	Eurasian Coot	1	48	43	39	Away	39	In Water	12
LORNE Lake Reserve	4	3.692307692	Eurasian Coot	12	90	67	67	Away	67	On Shore	15
LORNE Lake Reserve	4	3.692307692	Eurasian Coot	6	87	76	73	Away	73	On Shore	5
LYSTERFEILD Lake	26	19.5	Eurasian Coot	5	20	15	7	Away	7	On Shore	12
LYSTERFEILD Lake	26	19.5	Eurasian Coot	1	25	22	18	Both	15	In Water	2
LYSTERFEILD Lake	26	19.5	Eurasian Coot	23	20	23	22	Away	22	On Shore	5
MANNA GUM Waters	0	0	Eurasian Coot	1	30	17	17	Away	17	In Water	3
MANNA GUM Waters	0	0	Eurasian Coot	16	34	32	32	Away	32	On Shore	6
MANNA GUM Waters	0	0	Eurasian Coot	5	36	36	35	Away	35	In Water	5
MANNA GUM Waters	0	0	Eurasian Coot	17	56	56	56	Towards	12	In Water	48
McCLOUD'S Waterhole	0	0	Eurasian Coot	1	8	8	8	Towards	1	In Water	2
McCLOUD'S Waterhole	0	0	Eurasian Coot	1	32	18	17	Away	17	On Margin	0.2
McCLOUD'S Waterhole	0	0	Eurasian Coot	1	31	30	22	Away	22	In Water	4
MELBOURNE WATER Wetlands	0	0	Eurasian Coot	1	57	47	41	Away	41	In Water	20
MILLS Park	31	17.71428571	Eurasian Coot	2	30	23	22	Away	22	In Water	6
MILLS Park	31	17.71428571	Eurasian Coot	13	29	28	28	Towards	3	In Water	2
MILLS Park	31	17.71428571	Eurasian Coot	52	35	35	35	Towards	0.5	In Water	35
MILLS Park	31	17.71428571	Eurasian Coot	1	47	43	43	Towards	36	In Water	35
MILLS Park	31	17.71428571	Eurasian Coot	1	62	58	54	Towards	11	In Water	52
MORNINGTON CIVIC Reserve	22	26.4	Eurasian Coot	35	16	12	12	Away	12	On Shore	14
MORNINGTON CIVIC Reserve	22	26.4	Eurasian Coot	8	30	13	12	Away	12	On Shore	8
MORNINGTON CIVIC Reserve	22	26.4	Eurasian Coot	2	21	16	16	Both	12	In Water	0.5
NAMATJIRA Lake	34	40.8	Eurasian Coot	7	38	9	7	Away	7	On Shore	7
NAMATJIRA Lake	34	40.8	Eurasian Coot	2	12	12	7	Away	7	In Water	3
NAMATJIRA Lake	34	40.8	Eurasian Coot	3	24	19	14	Towards	9	In Water	6
NARR-MAEN Wetlands	6	7.2	Eurasian Coot	1	36	35	23	Away	23	On Shore	8
NEWPORT Lakes	46	18.4	Eurasian Coot	1	13	11	8	Towards	1	In Water	0.5
NEWPORT Lakes	46	18.4	Eurasian Coot	1	9	9	9	Towards	3	In Water	1.5
NEWPORT Lakes	46	18.4	Eurasian Coot	3	12	11	9	Away	9	In Water	4
NEWPORT Lakes	46	18.4	Eurasian Coot	3	32	24	12	Away	12	On Shore	10
NEWPORT Lakes	46	18.4	Eurasian Coot	1	15	15	15	Towards	9	In Water	6
NEWPORT Lakes	46	18.4	Eurasian Coot	1	23	23	23	Towards	4	In Water	1
NEWPORT Lakes	46	18.4	Eurasian Coot	2	30	30	30	Towards	2	In Water	49
NEWPORT Lakes	46	18.4	Eurasian Coot	1	34	34	34	Towards	4	In Water	1
NEWPORT Lakes	46	18.4	Eurasian Coot	2	34	34	34	Towards	28	In Water	34
NEWPORT Lakes	46	18.4	Eurasian Coot	2	143	143	143	Towards	2	In Water	50
ORNAMENTAL Lake	198	148.5	Eurasian Coot	2	29	10	10	Towards	1	In Water	3
PABLOO AVENUE Wetland	2	4.8	Eurasian Coot	2	16	16	16	Towards	8	In Water	10
PABLOO AVENUE Wetland	2	4.8	Eurasian Coot	2	38	37	37	Towards	36	In Water	3
PLENTY GORGE Park	3	3	Eurasian Coot	3	46	45	45	Away	45	On Shore	0.5
PLENTY GORGE Park	3	3	Eurasian Coot	2	64	63	63	Away	63	In Water	32
POINT LONSDALE Reserve	1	2.4	Eurasian Coot	1	18	16	12	Towards	8	In Water	9
QUEENS Park	70	105	Eurasian Coot	18	24	19	15	Towards	1	On Shore	7
QUEENS Park	70	105	Eurasian Coot	6	28	28	28	Towards	6	In Water	18
QUEENS Park	70	105	Eurasian Coot	22	29	29	29	Towards	0.5	In Water	2
RIFLE RANGE South	5	2.307692308	Eurasian Coot	3	12	8	5	Away	5	In Water	7
RIFLE RANGE South	5	2.307692308	Eurasian Coot	1	15	9	5	Away	5	In Water	3
RIFLE RANGE South	5	2.307692308	Eurasian Coot	3	10	9	8	Away	8	In Water	0.5
RIFLE RANGE South	5	2.307692308	Eurasian Coot	3	45	23	13	Away	13	In Water	1
RIFLE RANGE South	5	2.307692308	Eurasian Coot	10	28	28	20	Away	20	In Water	5
RIFLE RANGE South	5	2.307692308	Eurasian Coot	7	64	45	20	Away	20	In Water	10
RIFLE RANGE South	5	2.307692308	Eurasian Coot	5	60	43	31	Away	31	On Margin	0
RINGWOOD Lake	27	32.4	Eurasian Coot	1	28	28	28	Towards	18	In Water	25
SANCTUARY Lakes	41	8.482758621	Eurasian Coot	16	14	6	5	Away	5	On Shore	8
SANCTUARY Lakes	41	8.482758621	Eurasian Coot	15	32	12	7	Away	7	On Shore	15
SANCTUARY Lakes	41	8.482758621	Eurasian Coot	10	8	8	8	Towards	1.5	On Shore	20
SANCTUARY Lakes	41	8.482758621	Eurasian Coot	5	59	19	15	Towards	7	In Water	8
SANCTUARY Lakes	41	8.482758621	Eurasian Coot	14	66	26	23	Away	23	In Water	0.5
SANDHURST Lakes	1	1.333333333	Eurasian Coot	5	7	7	7	Towards	2	In Water	2
SANDHURST Lakes	1	1.333333333	Eurasian Coot	1	37	37	27	Towards	8	In Water	35
SANDHURST Lakes	1	1.333333333	Eurasian Coot	16	32	32	32	Towards	2	In Water	2
SHANKLAND Reserve	0	0	Eurasian Coot	2	59	58	58	Towards	15	In Water	16
SHEARWATER Meadow	11	18.85714286	Eurasian Coot	12	17	15	15	Towards	7	In Water	12
ST LEONARDS Lake	18	18	Eurasian Coot	1	39	30	27	Towards	25	On Shore	7
ST LEONARDS Lake	18	18	Eurasian Coot	5	43	31	30	Away	30	On Shore	9
ST LEONARDS Lake	18	18	Eurasian Coot	23	41	41	41	Towards	8	In Water	23
STATION Waters	27	40.5	Eurasian Coot	3	52	39	39	Towards	8	In Water	39
STATION Waters	27	40.5	Eurasian Coot	23	50	50	50	Towards	2	In Water	45
SUTTON Lake	47	29.68421053	Eurasian Coot	3	11	9	8	Away	8	In Water	1
SUTTON Lake	47	29.68421053	Eurasian Coot	6	49	14	9	Away	9	On Shore	5
SUTTON Lake	47	29.68421053	Eurasian Coot	6	31	21	19	Away	19	On Shore	2
TATTERSON Lake	29	18.31578947	Eurasian Coot	2	60	7	7	Towards	3	In Water	8
TATTERSON Lake	29	18.31578947	Eurasian Coot	3	32	25	24	Towards	10	In Water	15
TATTERSON Lake	29	18.31578947	Eurasian Coot	1	27	27	27	Away	27	In Water	3
TATTERSON Lake	29	18.31578947	Eurasian Coot	1	49	44	36	Away	36	On Shore	8
TAYLORS Lakes	36	24	Eurasian Coot	18	42	19	11	Towards	9	In Water	5
TAYLORS Lakes	36	24	Eurasian Coot	2	37	31	29	Towards	27.5	In Water	7
TAYLORS Lakes	36	24	Eurasian Coot	26	67	66	66	Towards	4	In Water	63
TAYLORS Lakes	36	24	Eurasian Coot	11	76	75	75	Towards	4	In Water	70
THE BRIARS Historical Park	0	0	Eurasian Coot	2	29	28	28	Away	28	In Water	28
TIRHARUAN Lake	26	31.2	Eurasian Coot	2	9	9	9	Towards	2	On Shore	24
TIRHARUAN Lake	26	31.2	Eurasian Coot	9	44	44	44	Towards	3	On Shore	40
TROUPS CREEK Wetlands	5	2.4	Eurasian Coot	3	36	21	15	Away	15	In Water	8
TROUPS CREEK Wetlands	5	2.4	Eurasian Coot	2	21	21	20.5	Away	20.5	In Water	8
TROUPS CREEK Wetlands	5	2.4	Eurasian Coot	3	61	51	47	Away	47	In Water	25
TROUPS CREEK Wetlands (North)	16	16	Eurasian Coot	12	52	42	40	Away	40	In Water	10
WATERDEGE WAY Lake	13	26	Eurasian Coot	7	26	25	25	Towards	4	In Water	3
WATERDEGE WAY Lake	13	26	Eurasian Coot	16	47	47	47	Towards	6	In Water	40
WENDOUREE Lake	131	87.33333333	Eurasian Coot	4	17	8	5	Away	5	On Shore	3
WENDOUREE Lake	131	87.33333333	Eurasian Coot	6	36	9	7	Towards	2	In Water	2
WENDOUREE Lake	131	87.33333333	Eurasian Coot	2	22	21	21	Towards	7	On Shore	12
WESTERN TREATMENT PLANT (Borrie)	0	0	Eurasian Coot	1	52	44	38	Away	38	In Water	12
WESTERN TREATMENT PLANT (Borrie)	0	0	Eurasian Coot	3	63	61	58	Away	58	On Shore	4
WESTERN TREATMENT PLANT (Borrie)	0	0	Eurasian Coot	7	114	87	85	Away	85	On Shore	6
WESTERN TREATMENT PLANT (Mid)	0	0	Eurasian Coot	5	32	24	5	Away	5	On Margin	0
WESTERN TREATMENT PLANT (Mid)	0	0	Eurasian Coot	2	51	39	32	Away	32	On Margin	0.2
WESTERN TREATMENT PLANT (Mid)	0	0	Eurasian Coot	12	73	71	66	Away	66	On Shore	1
WESTERN TREATMENT PLANT (South)	0	0	Eurasian Coot	4	98	49	44	Away	44	In Water	10
YAMMERBOOK NATURE Reserve	0.8	2.4	Eurasian Coot	3	51	51	51	Towards	9	In Water	9
YAMMERBOOK NATURE Reserve	0.8	2.4	Eurasian Coot	2	75	62	62	Towards	9	On Margin	0.2
YAMMERBOOK NATURE Reserve	0.8	2.4	Eurasian Coot	1	68	68	68	Towards	8	On Shore	5
ALBERT Park	79	30.58064516	Pacfic Black Duck	1	13	11	11	Towards	3	On Margin	0.2
ALBERT Park	79	30.58064516	Pacfic Black Duck	2	13	13	13	Towards	3	On Shore	6
ALBERT Park	79	30.58064516	Pacfic Black Duck	2	49	28	13	Towards	6	On Shore	7
ALBERT Park	79	30.58064516	Pacfic Black Duck	2	34	23	21	Towards	1	In Water	0.2
ALBERT Park	79	30.58064516	Pacfic Black Duck	1	48	27	27	Towards	2	On Margin	0.2
BEGOLA Wetlands	5	7.692307692	Pacfic Black Duck	4	62	57	57	Away	57	In Water	58
BERWICK Springs	44	25.14285714	Pacfic Black Duck	2	29	16	10	Away	10	In Water	5
BERWICK Springs	44	25.14285714	Pacfic Black Duck	9	36	36	36	Towards	14	On Shore	0.5
BLACKBURN Lake	13	22.28571429	Pacfic Black Duck	5	27	19	7	Away	7	In Water	5
BLACKBURN Lake	13	22.28571429	Pacfic Black Duck	11	37	37	29	Both	4	In Water	5
BLUE WATERS Lake	30	17.14285714	Pacfic Black Duck	2	46	10	7	Towards	5	In Water	2
BLUE WATERS Lake	30	17.14285714	Pacfic Black Duck	3	71	17	15	Away	15	On Shore	0.5
BLUE WATERS Lake	30	17.14285714	Pacfic Black Duck	2	42	41	41	Towards	5	In Water	40
BRODIES Lakes	0	0	Pacfic Black Duck	2	29	29	29	Towards	4	In Water	2
BRODIES Lakes	0	0	Pacfic Black Duck	2	48	39	34	Away	34	In Water	9
BUNDRAP Park	34	27.2	Pacfic Black Duck	8	31	31	31	Towards	0.5	In Water	2
BUNDRAP Park	34	27.2	Pacfic Black Duck	2	62	62	62	Towards	8	In Water	3
CAIRNLEA Lake	33	36	Pacfic Black Duck	2	45	25	7	Both	17	In Water	3
CAIRNLEA Lake	33	36	Pacfic Black Duck	4	32	31	31	Towards	6	In Water	20
CANDLEBARK Walk	18	19.63636364	Pacfic Black Duck	2	24	24	24	Towards	2	In Water	4
CANDLEBARK Walk	18	19.63636364	Pacfic Black Duck	2	57	57	57	Towards	6	In Water	24
CARDINA Lake	11	14.66666667	Pacfic Black Duck	3	40	40	40	Towards	3	In Water	3
CARDINA Lake	11	14.66666667	Pacfic Black Duck	1	60	58	58	Towards	3	In Water	58
CAROLINE Lake	73	58.4	Pacfic Black Duck	3	46	45	45	Towards	3	In Water	2
CAROLINE Lake	73	58.4	Pacfic Black Duck	3	57	56	56	Towards	6	In Water	25
CHEETHAM Wetlands	0	0	Pacfic Black Duck	2	44	44	38	Away	38	On Margin	0.2
CHERRY Lake	32	27.42857143	Pacfic Black Duck	8	49	8	7	Away	7	On Margin	0
CHERRY Lake	32	27.42857143	Pacfic Black Duck	4	24	21	18	Away	18	In Water	7
CHERRY Lake	32	27.42857143	Pacfic Black Duck	4	94	35	26	Towards	15	In Water	6
COLBURG Lake	22	10.56	Pacfic Black Duck	6	38	4	1	Away	1	On Shore	2
COLBURG Lake	22	10.56	Pacfic Black Duck	10	38	14	3	Away	3	On Shore	3
COLBURG Lake	22	10.56	Pacfic Black Duck	18	31	9	4	Both	3	On Shore	1
COLBURG Lake	22	10.56	Pacfic Black Duck	5	47	11	11	Towards	3	On Shore	1
COLBURG Lake	22	10.56	Pacfic Black Duck	2	30	22	16	Away	16	On Shore	8
CONNEWARRE Lake (North)	0	0	Pacfic Black Duck	1	125	125	121	Away	121	In Water	120
DENYER Reserve	24	36	Pacfic Black Duck	6	28	27	27	Towards	4	In Water	12
DENYER Reserve	24	36	Pacfic Black Duck	2	63	62	61	Towards	8	In Water	9
EDWARDES Lake	57	38	Pacfic Black Duck	5	21	11	5	Towards	0.5	On Shore	2
EDWARDES Lake	57	38	Pacfic Black Duck	1	30	30	25	Towards	9	On Shore	0.5
EDWARDES Lake	57	38	Pacfic Black Duck	9	33	33	32	Towards	2	In Water	11
EEL RACE Drain	1	2	Pacfic Black Duck	3	35	35	35	Towards	5	In Water	3
EMERALD GOLF CLUB Lake	0	0	Pacfic Black Duck	2	25	25	25	Towards	2	In Water	2
EMERALD Lake	52	41.6	Pacfic Black Duck	2	13	4	3	Away	3	On Shore	1
EMERALD Lake	52	41.6	Pacfic Black Duck	4	23	6	4	Away	4	On Shore	2
EMERALD Lake	52	41.6	Pacfic Black Duck	1	16	9	5	Away	5	In Water	1
FLORA AND FAUNA Reserve	0	0	Pacfic Black Duck	6	82	72	72	Away	72	In Water	25
FROG HOLLOW Reserve	44	26.4	Pacfic Black Duck	2	36	36	36	Towards	4	On Shore	1
FROG HOLLOW Reserve	44	26.4	Pacfic Black Duck	2	36	36	36	Towards	5	In Water	30
FROG HOLLOW Reserve	44	26.4	Pacfic Black Duck	6	56	56	56	Towards	6	In Water	2
FROG HOLLOW Reserve	44	26.4	Pacfic Black Duck	22	60	58	58	Towards	4	In Water	3
FROG HOLLOW Reserve	44	26.4	Pacfic Black Duck	8	76	74	74	Towards	4	In Water	3
GATEWAY Sanctuary	12	15.65217391	Pacfic Black Duck	3	62	39	37	Towards	3	In Water	0.5
HAMPTON PARK Wetlands	31	24.8	Pacfic Black Duck	11	68	43	39	Towards	6	In Water	3
HUNTERS ROAD Wetland	2	4	Pacfic Black Duck	2	37	37	37	Towards	1	In Water	37
HUNTERS ROAD Wetland	2	4	Pacfic Black Duck	5	48	48	48	Towards	2	In Water	48
HUNTERS ROAD Wetland	2	4	Pacfic Black Duck	4	142	142	142	Towards	3	In Water	142
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Pacfic Black Duck	1	16	12	12	Towards	4	In Water	12
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Pacfic Black Duck	2	59	50	49	Towards	46	In Water	18
JACK ROPER Reserve	2	4	Pacfic Black Duck	9	35	18	11	Both	13	In Water	2
JACK ROPER Reserve	2	4	Pacfic Black Duck	8	28	20	12	Away	12	On Margin	0.2
JACK ROPER Reserve	2	4	Pacfic Black Duck	2	43	43	43	Towards	6	In Water	5
JELLS Park	58	38.66666667	Pacfic Black Duck	2	34	19	10	Away	10	In Water	0.5
JELLS Park	58	38.66666667	Pacfic Black Duck	6	49	47	45	Towards	5	In Water	50
JONES CREEK Wetland	37	44.4	Pacfic Black Duck	4	40	24	22	Towards	8	In Water	15
JONES CREEK Wetland	37	44.4	Pacfic Black Duck	5	45	36	36	Away	36	On Shore	5
JONES CREEK Wetland	37	44.4	Pacfic Black Duck	8	48	46	46	Towards	6	In Water	38
KARRAROCK Park	84	28	Pacfic Black Duck	9	48	8	5	Towards	3	In Water	2
KARRAROCK Park	84	28	Pacfic Black Duck	2	20	13	13	Away	13	On Margin	0.2
KOROROIT Creek FORD	3	6	Pacfic Black Duck	3	53	32	17	Towards	14	In Water	5
Lake VICTORIA (EMILY STREET)	1	2.4	Pacfic Black Duck	2	22	21	21	Towards	6	In Water	15
LAKESIDE Lake	118	83.29411765	Pacfic Black Duck	7	22	22	22	Towards	4	In Water	2
LAKESIDE Lake	118	83.29411765	Pacfic Black Duck	6	33	33	33	Towards	2	In Water	8
LAKEWOOD Lakes	4	8	Pacfic Black Duck	2	12	12	12	Towards	6	In Water	10
LAKEWOOD Lakes	4	8	Pacfic Black Duck	2	77	76	61	Away	61	On Shore	6
LANDCOX Park	17	51	Pacfic Black Duck	2	16	16	16	Towards	8	On Shore	0.5
LANDCOX Park	17	51	Pacfic Black Duck	2	26	26	26	Towards	2	On Margin	0.2
LANDCOX Park	17	51	Pacfic Black Duck	17	26	26	26	Towards	7	In Water	9
LAVERTON Creek (Mouth)	7	12	Pacfic Black Duck	2	32	24	20	Away	20	In Water	10
LILYDALE Lake	235	108.4615385	Pacfic Black Duck	1	28	25	8	Towards	1.5	In Water	8
LILYDALE Lake	235	108.4615385	Pacfic Black Duck	2	15	15	15	Towards	1	In Water	20
LOGAN Lake	58	43.5	Pacfic Black Duck	4	23	23	23	Towards	5	In Water	4
LOGAN Lake	58	43.5	Pacfic Black Duck	1	24	24	24	Towards	2	On Shore	8
LOGAN Lake	58	43.5	Pacfic Black Duck	1	35	34	34	Towards	1	In Water	34
LORNE Lake Reserve	4	3.692307692	Pacfic Black Duck	1	12	11	7	Away	7	In Water	3
LORNE Lake Reserve	4	3.692307692	Pacfic Black Duck	2	37	19	15	Away	15	In Water	9
LYSTERFEILD Lake	26	19.5	Pacfic Black Duck	8	29	24	2	Away	2	On Margin	0.2
LYSTERFEILD Lake	26	19.5	Pacfic Black Duck	4	19	14	11	Away	11	In Water	2
LYSTERFEILD Lake	26	19.5	Pacfic Black Duck	2	22	17	12	Away	12	On Shore	12.5
McCLOUD'S Waterhole	0	0	Pacfic Black Duck	2	27	27	23	Away	23	In Water	8
MELBOURNE WATER Wetlands	0	0	Pacfic Black Duck	2	21	11	10	Away	10	On Shore	1
MELBOURNE WATER Wetlands	0	0	Pacfic Black Duck	2	37	36	36	Towards	31	In Water	31
MELBOURNE WATER Wetlands	0	0	Pacfic Black Duck	2	88	87	87	Towards	12	In Water	86
MILLS Park	31	17.71428571	Pacfic Black Duck	2	28	20	20	Away	20	In Water	6
MILLS Park	31	17.71428571	Pacfic Black Duck	3	29	27	27	Towards	6	In Water	2
MILLS Park	31	17.71428571	Pacfic Black Duck	8	38	38	38	Towards	2	In Water	38
MORNINGTON CIVIC Reserve	22	26.4	Pacfic Black Duck	2	21	16	16	Both	11	On Margin	0.2
MORNINGTON CIVIC Reserve	22	26.4	Pacfic Black Duck	11	49	25	23	Away	23	On Shore	32
NAMATJIRA Lake	34	40.8	Pacfic Black Duck	2	28	28	28	Towards	10	In Water	7
NAMATJIRA Lake	34	40.8	Pacfic Black Duck	5	62	62	62	Towards	3	In Water	7
NARR-MAEN Wetlands	6	7.2	Pacfic Black Duck	2	27	25	9	Away	9	On Margin	0.2
NARR-MAEN Wetlands	6	7.2	Pacfic Black Duck	3	54	45	25	Towards	5	In Water	22
NEWPORT Lakes	46	18.4	Pacfic Black Duck	2	26	23	9	Towards	2	In Water	5
NEWPORT Lakes	46	18.4	Pacfic Black Duck	1	16	13	10	Away	10	In Water	7
NEWPORT Lakes	46	18.4	Pacfic Black Duck	2	18	13	11	Away	11	In Water	10
NEWPORT Lakes	46	18.4	Pacfic Black Duck	2	47	23	21	Towards	34	In Water	15
NEWPORT Lakes	46	18.4	Pacfic Black Duck	4	33	33	33	Towards	7	On Margin	0
ORNAMENTAL Lake	198	148.5	Pacfic Black Duck	2	23	22	12	Towards	4	In Water	6
ORNAMENTAL Lake	198	148.5	Pacfic Black Duck	1	36	35	27	Towards	26	In Water	5
QUEENS Park	70	105	Pacfic Black Duck	2	13	7	6	Both	4	In Water	5
QUEENS Park	70	105	Pacfic Black Duck	2	22	22	22	Towards	0.5	In Water	12
QUEENS Park	70	105	Pacfic Black Duck	7	30	30	30	Towards	2	In Water	25
RIFLE RANGE South	5	2.307692308	Pacfic Black Duck	6	9	8	6	Away	6	On Shore	0.5
RIFLE RANGE South	5	2.307692308	Pacfic Black Duck	1	33	19	18	Away	18	On Shore	0.5
RIFLE RANGE South	5	2.307692308	Pacfic Black Duck	5	25	21	18	Away	18	On Margin	0.5
RINGWOOD Lake	27	32.4	Pacfic Black Duck	31	35	21	10	Towards	6	In Water	3
RINGWOOD Lake	27	32.4	Pacfic Black Duck	4	32	32	32	Towards	2	In Water	3
SANCTUARY Lakes	41	8.482758621	Pacfic Black Duck	7	50	10	3	Towards	5	On Shore	0.5
SANCTUARY Lakes	41	8.482758621	Pacfic Black Duck	3	30	30	30	Towards	2	In Water	5
SANCTUARY Lakes	41	8.482758621	Pacfic Black Duck	2	45	36	32	Away	32	In Water	5
SANDHURST Lakes	1	1.333333333	Pacfic Black Duck	2	15	11	2	Towards	8	On Shore	0.5
SANDHURST Lakes	1	1.333333333	Pacfic Black Duck	12	9	9	9	Towards	2	In Water	2
SANDHURST Lakes	1	1.333333333	Pacfic Black Duck	2	14	14	14	Towards	7	In Water	1
SANDHURST Lakes	1	1.333333333	Pacfic Black Duck	3	63	63	63	Towards	2	On Shore	0.5
SEAFORD Wetlands	2	6	Pacfic Black Duck	9	24	7	3	Towards	4	In Water	2
SHANKLAND Reserve	0	0	Pacfic Black Duck	2	15	12	12	Both	6	On Margin	0.2
SHANKLAND Reserve	0	0	Pacfic Black Duck	2	34	33	33	Towards	4	In Water	16
SHEARWATER Meadow	11	18.85714286	Pacfic Black Duck	2	63	62	62	Towards	8	In Water	52
